City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Weather,Rain(Inches),Snow(Inches),Wind Speed
117,Kirensk,RU,2020-07-13 02:53:58,57.79,108.11,79.68,45,77,broken clouds,0.0,0,6.29
118,Sorong,ID,2020-07-13 02:53:58,-0.88,131.25,82.09,77,20,light rain,0.19,0,5.23
119,Nam Som,TH,2020-07-13 02:53:58,17.77,102.19,86.0,94,75,broken clouds,0.0,0,4.7
120,Port Augusta,AU,2020-07-13 02:53:59,-32.5,137.77,53.6,87,90,overcast clouds,0.0,0,5.82
121,Darhan,MN,2020-07-13 02:53:59,49.49,105.92,73.42,56,1,clear sky,0.0,0,4.85
122,Kudahuvadhoo,MV,2020-07-13 02:53:59,2.67,72.89,83.64,71,61,broken clouds,0.0,0,6.11
123,Broken Hill,AU,2020-07-13 02:53:59,-31.95,141.43,53.6,71,40,scattered clouds,0.0,0,17.22
124,Saint-Joseph,RE,2020-07-13 02:53:59,-21.37,55.62,66.2,63,16,few clouds,0.0,0,5.82
125,Geraldton,AU,2020-07-13 02:53:59,-28.77,114.6,68.0,72,21,few clouds,0.0,0,11.41
126,Amalapuram,IN,2020-07-13 02:53:59,16.58,82.02,80.6,88,75,broken clouds,0.0,0,6.93
127,Carnarvon,AU,2020-07-13 02:49:57,-24.87,113.63,73.4,64,0,clear sky,0.0,0,6.93
128,Puerto Ayora,EC,2020-07-13 02:53:59,-0.74,-90.35,68.0,94,54,broken clouds,0.0,0,8.57
129,Castellammare Del Golfo,IT,2020-07-13 02:54:00,38.02,12.89,73.4,78,0,clear sky,0.0,0,5.82
130,Malibago,PH,2020-07-13 02:54:00,13.28,122.02,76.53,91,100,light rain,0.68,0,5.93
131,Iqaluit,CA,2020-07-13 02:54:00,63.75,-68.51,53.6,76,75,broken clouds,0.0,0,9.17
132,Narsaq,GL,2020-07-13 02:54:00,60.92,-46.05,51.8,76,100,light intensity shower rain,0.0,0,2.24
133,Codrington,AU,2020-07-13 02:54:00,-38.27,141.97,56.88,71,5,clear sky,0.0,0,7.7
134,Hasaki,JP,2020-07-13 02:54:00,35.73,140.83,73.0,88,75,broken clouds,0.0,0,4.7
135,Bosaso,SO,2020-07-13 02:51:37,11.28,49.18,89.8,45,77,broken clouds,0.0,0,21.39
136,Gap,FR,2020-07-13 02:54:00,44.67,6.0,57.99,83,5,light rain,0.19,0,5.01
137,Mitu,CO,2020-07-13 02:54:00,1.2,-70.17,71.04,96,36,scattered clouds,0.0,0,0.96
138,Agropoli,IT,2020-07-13 02:54:01,40.35,15.0,72.0,65,0,clear sky,0.0,0,3.0
139,Shahrud,IR,2020-07-13 02:54:01,36.42,54.98,72.82,42,96,overcast clouds,0.0,0,4.27
140,Visnes,NO,2020-07-13 02:54:01,59.36,5.22,53.6,93,94,overcast clouds,0.0,0,8.05
141,Saint-Philippe,RE,2020-07-13 02:54:01,-21.36,55.77,66.2,63,29,light rain,0.13,0,5.82
142,Tessalit,ML,2020-07-13 02:54:01,20.2,1.01,89.26,30,6,clear sky,0.0,0,7.45
143,Upernavik,GL,2020-07-13 02:54:01,72.79,-56.15,41.04,90,78,broken clouds,0.0,0,8.43
144,Fortuna,US,2020-07-13 02:54:01,40.6,-124.16,64.0,87,40,scattered clouds,0.0,0,13.87
145,Diego De Almagro,CL,2020-07-13 02:54:01,-26.37,-70.05,49.05,70,0,clear sky,0.0,0,1.79
146,Vallenar,CL,2020-07-13 02:54:01,-28.57,-70.76,60.73,57,0,clear sky,0.0,0,2.28
147,Cabo San Lucas,MX,2020-07-13 02:53:30,22.89,-109.91,89.6,46,20,few clouds,0.0,0,11.41
148,Bluff,NZ,2020-07-13 02:54:02,-46.6,168.33,48.33,75,94,overcast clouds,0.0,0,14.0
149,Sorland,NO,2020-07-13 02:54:02,67.67,12.69,51.46,80,0,clear sky,0.0,0,3.2
150,Lethem,GY,2020-07-13 02:54:02,3.38,-59.8,74.98,86,82,light rain,0.24,0,6.24
151,Half Moon Bay,US,2020-07-13 02:51:58,37.46,-122.43,73.4,82,1,haze,0.0,0,4.7
152,Verkhnevilyuysk,RU,2020-07-13 02:54:02,63.45,120.32,68.22,76,100,light rain,0.15,0,5.37
